marketTokenAddress,indexTokenAddress,longTokenAddress,shortTokenAddress,isSameCollaterals,isSpotOnly,name,data,isDisabled,longInterestUsd,shortInterestUsd,longInterestInTokens,shortInterestInTokens,longPoolAmount,shortPoolAmount,maxLongPoolAmountForDeposit,maxShortPoolAmountForDeposit,maxLongPoolAmount,maxShortPoolAmount,poolValueMin,poolValueMax,reserveFactorLong,reserveFactorShort,openInterestReserveFactorLong,openInterestReserveFactorShort,maxOpenInterestLong,maxOpenInterestShort,totalBorrowingFees,positionImpactPoolAmount,minPositionImpactPoolAmount,positionImpactPoolDistributionRate,swapImpactPoolAmountLong,swapImpactPoolAmountShort,borrowingFactorLong,borrowingFactorShort,borrowingExponentFactorLong,borrowingExponentFactorShort,fundingFactor,fundingExponentFactor,fundingIncreaseFactorPerSecond,fundingDecreaseFactorPerSecond,thresholdForDecreaseFunding,thresholdForStableFunding,minFundingFactorPerSecond,maxFundingFactorPerSecond,pnlLongMax,pnlLongMin,pnlShortMax,pnlShortMin,netPnlMax,netPnlMin,maxPnlFactorForTradersLong,maxPnlFactorForTradersShort,minCollateralFactor,minCollateralFactorForOpenInterestLong,minCollateralFactorForOpenInterestShort,claimableFundingAmountLong,claimableFundingAmountShort,positionFeeFactorForPositiveImpact,positionFeeFactorForNegativeImpact,positionImpactFactorPositive,positionImpactFactorNegative,maxPositionImpactFactorPositive,maxPositionImpactFactorNegative,maxPositionImpactFactorForLiquidations,positionImpactExponentFactor,swapFeeFactorForPositiveImpact,swapFeeFactorForNegativeImpact,swapImpactFactorPositive,swapImpactFactorNegative,swapImpactExponentFactor,borrowingFactorPerSecondForLongs,borrowingFactorPerSecondForShorts,fundingFactorPerSecond,longsPayShorts,virtualPoolAmountForLongToken,virtualPoolAmountForShortToken,virtualInventoryForPositions,virtualMarketId,virtualLongTokenId,virtualShortTokenId
0x47c031236e19d024b42f8AE6780E44A573170703,0x47904963fc8b2340414262125aF798B9655E58Cd,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,BTC/USD [BTC-USDC],,false,27746649502403170032399110093449156985,26126607388759836648588948420000133102,42569018515,43024561359,83769472439,53253158859101,200000000000,100000000000000,220000000000,110000000000000,109121355590064439482229423023645931658,109129577107487578634042923023645931658,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,90000000000000000000000000000000000000,90000000000000000000000000000000000000,150230109071383400610891032058583771,2047458172,95000000,552000000000000000000000000000000,6097,227,9150000000000000000,9150000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,790000000000000000,0,0,50000000000000000000000000000,300000000000000000000,10000000000000000000000,308737844558910300583389906550843015,309556821234811314077889906550843015,-2229836160597062132247251579999866898,-2229008419825179480075551579999866898,-1921098316038151831663861673449023883,-1919451598590368165997661673449023883,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,200000000000000000000,200000000000000000000,,,500000000000000000000000000,700000000000000000000000000,90000000000000000000,150000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,200000000000000000000,200000000000000000000,2000000000000000000000000000000,4432545546888976502904,0,3854474470628320446019,true,83769472439,53253158859101,-1617328262455675908049055264024023883,0xba1ff14bf93fbb00b6f43d3ad403cc4c6496c1bb88489075c8b1bc709bde9ebb,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000
0x70d95587d40A2caf56bd97485aB3Eec10Bee6336,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,ETH/USD [WETH-USDC],,false,27245891541037462297897396116887170602,27038411254933294377609847229826565091,8801551008146852788546,8960392903217953555053,15038427974990566493258,46277218754061,34013000000000000000000,90000000000000,37792000000000000000000,100000000000000,94570744886310108073897914956694985427,94581368539780772399953221403094985427,1400000000000000000000000000000,1400000000000000000000000000000,1350000000000000000000000000000,1350000000000000000000000000000,80000000000000000000000000000000000000,80000000000000000000000000000000000000,267992409162268689134098326403777646,280244495675106804991,10000000000000000000,82880000000000000000000000000000000000000000,4205894639299922,134103440,9100000000000000000,9100000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,790000000000000000,0,0,50000000000000000000000000000,300000000000000000000,10000000000000000000000,1030648067007643463564922670512829398,1032336204491006029929765793312829398,-1750154643517797877473663311273434909,-1748436040158960673981804145873434909,-719506576510154413908740640760605511,-716099835667954644052038352560605511,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,200000000000000000000,200000000000000000000,,,500000000000000000000000000,700000000000000000000000000,90000000000000000000,150000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,200000000000000000000,200000000000000000000,2000000000000000000000000000000,5093366934186005113685,0,5624977106839827710012,true,15038427974990566493258,46277218754061,168425563727713525892238490986243615,0xf5134a0a1379cd7f246d7a04d2463c57aa177bf09a34e93dafc5e768c05cea63,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0x6853EA96FF216fAb11D2d930CE3C508556A4bdc4,0xC4da4c24fd591125c3F47b340b6f4f76111883d8,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,DOGE/USD [WETH-USDC],,false,1215759400002488570622413356434963734,1189335515435784060900505460000000000,866627839099742,713286466435948,940644170869771801607,2940917536297,1060000000000000000000,3500000000000,1200000000000000000000,4000000000000,5654819656820739411087629095374121770,5655546258611401191441977317974121770,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,3000000000000000000000000000000000000,3000000000000000000000000000000000000,25158060690867415566237175617711169,65432301329394,2600000000000,19520000000000000000000000000000000000,504758822278685,0,19100000000000000000,19100000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,170717748264750967303586643565036266,170862215125528894294986643565036266,48063117394878472724905460000000000,48182022248833345256505460000000000,218780865659629440028492103565036266,219044237374362239551492103565036266,700000000000000000000000000000,700000000000000000000000000000,10000000000000000000000000000,5000000000000000000000,5000000000000000000000,,,500000000000000000000000000,700000000000000000000000000,13000000000000000000000,26000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,5000000000000000000000,2000000000000000000000000000000,10319957217371632973097,0,300000000000000000000,true,940644170869771801607,2940917536297,-26423884566704509721907896434963734,0x1d8eb216c5594c7c1ee5b7c9434607b93048d3503f95678132f1317fa99a55ac,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0x09400D9DB990D5ed3f35D7be61DfAEB900Af03C9,0x2bcC6D6CdBbDC0a4071e48bb3B969b06B3330c07,0x2bcC6D6CdBbDC0a4071e48bb3B969b06B3330c07,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,SOL/USD [SOL-USDC],,false,7989788145338056115677825403472117488,7236364588215048963504549141450000000,58965501892465,47224294770663,65281363298963,10062954610720,152000000000000,14500000000000,167700000000000,16000000000000,18754211309612660327475983927164684928,18759121198772235825915983927164684928,1450000000000000000000000000000,1450000000000000000000000000000,1400000000000000000000000000000,1400000000000000000000000000000,17500000000000000000000000000000000000,17500000000000000000000000000000000000,87395321770839000036043912924710223,2154311894206,219000000000,1725000000000000000000000000000000000,17919734459,95795146,4900000000000000000,4900000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,1058286506314869342122174596527882512,1059637995618244639922174596527882512,-11140374351438340415450858550000000,-10057993515294744455450858550000000,1047146131963431001706723737977882512,1049580002102949895466723737977882512,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,1700000000000000000000,1700000000000000000000,,,500000000000000000000000000,700000000000000000000000000,32500000000000000000,65000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2300000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,10000000000000000000000,2000000000000000000000000000000,13316198139464921291189,0,1085019339253806051639,true,65281363298963,10062954610720,-753423557123007152173276262022117488,0xb20ab5cc3e9cef737f22fd7c99fcc71c0360484f26cfa8428606fc8e94848f07,0xe164d90f9b49d7563d555e0316bb53a5f920111bde55dbf44359ae6db82ff4e7,0x0000000000000000000000000000000000000000000000000000000000000000
0xD9535bB5f58A1a75032416F2dFe7880C30575a41,0xB46A094Bc4B0adBD801E14b9DB95e05E28962764,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,LTC/USD [WETH-USDC],,false,287670052680608418281149345904422768,363926345445277024170000000000000000,355190688086,443753715676,249094524568092339283,762805078787,800000000000000000000,1500000000000,800000000000000000000,1500000000000,1551051625060084183637496561925271220,1551363979576049941930571041325271220,950000000000000000000000000000,950000000000000000000000000000,900000000000000000000000000000,900000000000000000000000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,3459022634120479369508814794997544,15471307065,2800000000,5418000000000000000000000000000000,6131322278975751,0,33000000000000000000,33000000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,14661618703694091858650654095577232,14746250983478269719450654095577232,-13894253273367958069600000000000000,-13788518833023433656800000000000000,767365430326133789050654095577232,957732150454836062650654095577232,600000000000000000000000000000,600000000000000000000000000000,10000000000000000000000000000,2500000000000000000000,2500000000000000000000,,,500000000000000000000000000,700000000000000000000000000,18000000000000000000000,36000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,5000000000000000000000,2000000000000000000000000000000,0,9498699024438900931612,13782609048274575937857,true,249094524568092339283,762805078787,76256292764668605888850654095577232,0xb890c85174d049941f8b8576844968c4d2864b0c1b9e05ecac35ca077bf17d71,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0xc7Abb2C5f3BF3CEB389dF0Eecd6120D451170B50,0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,0xFa7F8980b0f1E64A2062791cc3b0871572f1F7f0,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,UNI/USD [UNI-USDC],,false,133479884084727700607383552929752712,166829047713002188008814256671487578,17999763380692532791947,20040672003433520255152,109039299503251504086952,778558264261,300000000000000000000000,1500000000000,300000000000000000000000,1500000000000,1621510840654729902908103376562624370,1621957760955077449127120004198724370,1050000000000000000000000000000,1050000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000000000,1000000000000000000000000000000000000,1256181433955476802237522916030534,2546173989673135851015,170000000000000000000,1863200000000000000000000000000000000000000000,1222534242626313658226,2715568453,18000000000000000000000,18000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,11737272775561738520955914558607288,11782377482629246904252614948557288,5096180620370323900088890298527578,5146399538310127786820262937727578,16833453395932062421044804857134866,16928777020939374691072877886284866,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,29000000000000000000000,29000000000000000000000,,,500000000000000000000000000,700000000000000000000000000,21000000000000000000000,42000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,15000000000000000000000,30000000000000000000000,2000000000000000000000000000000,0,3857416868739570210199,1644774836583288315929,false,109039299503251504086952,778558264261,33349163628274487401430703741734866,0xac74a8ce840f9f11faaa15bd01a21a95ded2d6d1e2f3de883ef04c6f7e604ef4,0xd6f594c665cfd695fe0f7241434c3e44f7d3b0e20145e97654d944d26203ddb8,0x0000000000000000000000000000000000000000000000000000000000000000
0x7f1fa204bb700853D36994DA19F830b6Ad18455C,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,LINK/USD [LINK-USDC],,false,1865072788700869638641515941513073601,1770216649084604689598429630699701863,130025262976400022071356,113135081510685349844742,206122008662101689786029,2976432593404,550000000000000000000000,7200000000000,600000000000000000000000,8000000000000,5952891923361699825290877678783730450,5954216287610838116997558027542130450,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,7000000000000000000000000000000000000,7000000000000000000000000000000000000,18904794441758958923915258492378909,3757255543960559325383,638000000000000000000,2068000000000000000000000000000000000000000000,2681438032370136206291,1594178020,9300000000000000000,9300000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,147107268758276633803357443085286399,147408386463287900030471172164326399,19155227795713965930375936545401863,19417230542879671490960383858681863,166262496553990599733733379630688262,166825617006167571521431556023008262,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,3000000000000000000000,3000000000000000000000,,,500000000000000000000000000,700000000000000000000000000,250000000000000000000,500000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2200000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,4000000000000000000000,8000000000000000000000,2000000000000000000000000000000,8323715405000601804655,0,2773829330246577800192,true,206122008662101689786029,2976432593404,-94856139616264949043086310813371738,0xeed81816403077d40644cf5d67e0684a662b9e79f29112103f52bebee3ca78e2,0xc31eff1feab296b571fe8131f0a4addc859c36445b90ea23edd116081d5eb0e8,0x0000000000000000000000000000000000000000000000000000000000000000
0xC25cEf6061Cf5dE5eb761b50E4743c1F5D7E5407,0x912CE59144191C1204E64559FE8253a0e49E6548,0x912CE59144191C1204E64559FE8253a0e49E6548,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,ARB/USD [ARB-USDC],,false,1360851108962379642717639843960755557,1373573454619362056421750441563967486,1170846804276984441295966,981377141327746464381815,3632152024259121436048251,4301084901631,6796000000000000000000000,14000000000000,7524000000000000000000000,15500000000000,8406045577839245412078151651267422714,8408916898662485118751374000190782714,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,10000000000000000000000000000000000000,10000000000000000000000000000000000000,4662079958299639507998731667801022,57688120630446966814776,27598000000000000000000,16010000000000000000000000000000000000000000000,368900766174837331,502265,6300000000000000000,6300000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,62736665216933888180179166981784443,63232425170800848932312704905504443,179939050328058401939003502289317486,180354585037239396346952050396617486,242675715544992290119182669271101929,243587010208040245279264755302121929,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,3800000000000000000000,3800000000000000000000,,,500000000000000000000000000,700000000000000000000000000,250000000000000000000,500000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2200000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,4000000000000000000000,8000000000000000000000,2000000000000000000000000000000,0,2358217653988345428006,6877372773504771107167,false,3632152024259121436048251,4301084901631,12722345656982413704110597603211929,0x85248fe8b259d5a671c8ca8540127a7b9cb2534b1175b95d1df6391360841c7b,0xab14694c1d031aa28aedaf394a1c4f0054ad43be42448259b8bc064efa1af97c,0x0000000000000000000000000000000000000000000000000000000000000000
0x0CCB4fAa6f1F1B30911619f1184082aB4E25813c,0xc14e065b0067dE91534e032868f5Ac6ecf2c6868,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,XRP/USD [WETH-USDC],,false,390414109239057342969709962486946458,377140974165174762585032619215203600,699631938047,645812874292,248858150453533298423,762170105534,845000000000000000000,2000000000000,1056000000000000000000,2500000000000,1541709780324014738397397657671278136,1541967052095423876644035189071278136,1250000000000000000000000000000,1250000000000000000000000000000,1200000000000000000000000000000,1200000000000000000000000000000,2000000000000000000000000000000000000,2000000000000000000000000000000000000,3811408795978014362447278888151235,12971838955,4169000000,9965000000000000000000000000000000,7278033285127435,0,23500000000000000000,23500000000000000000,1500000000000000000000000000000,1500000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,-18471447612814692039709962486946458,-18399819294997440179709962486946458,33743818030299840145032619215203600,33809936352369855105032619215203600,15272370417485148105322656728257142,15410117057372414925322656728257142,700000000000000000000000000000,700000000000000000000000000000,10000000000000000000000000000,2000000000000000000000,2000000000000000000000,,,500000000000000000000000000,700000000000000000000000000,14000000000000000000000,28000000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2000000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,5000000000000000000000,2000000000000000000000000000000,6669424741842930945587,0,12683352121540207660263,true,248858150453533298423,762170105534,-13273135073882580384677343271742858,0x4cdf047af6bcf090983ce57032e6e50a0ce1adc3cc5c3a51621361a4591267e5,0x3c48977e4fc47fa4616e13af7ceb68b0d545dce7b1fb9ec7b85bb6e00870a051,0x0000000000000000000000000000000000000000000000000000000000000000
0x2d340912Aa47e33c90Efb078e69E70EFe2B34b9B,0xa9004A5421372E1D83fB1f85b0fc986c912f91f3,0xa9004A5421372E1D83fB1f85b0fc986c912f91f3,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,false,false,BNB/USD [BNB-USDC],,false,268783843073525792490269886310326578,309795288544005585555025609868297114,480758054443377665863,526155418845877548316,1350004695809415041091,692577455835,12700000000000000000000,4500000000000,14120000000000000000000,5000000000000,1484107521548323469060514944539277241,1484410588478893115949709231306637241,1050000000000000000000000000000,1050000000000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,10000000000000000000000000000000000000,10000000000000000000000000000000000000,384434532035129551682923763536154,20152805066733612429,530000000000000000,29110000000000000000000000000000000000000000,27450179003951366810,8287536519,18000000000000000000000,18000000000000000000000,1000000000000000000000000000000,1000000000000000000000000000000,20000000000000000000000,1000000000000000000000000000000,1160000000000000000,0,0,50000000000000000000000000000,300000000000000000000,15000000000000000000000,22194252058465826987230736141893422,22242597396105807889071625574213422,-8712404182666166890798937642982886,-8659493657007557383178649760742886,13481847875799660096431798498910536,13583103739098250505892975813470536,900000000000000000000000000000,900000000000000000000000000000,10000000000000000000000000000,5000000000000000000000,5000000000000000000000,,,500000000000000000000000000,700000000000000000000000000,19000000000000000000,38000000000000000000,5000000000000000000000000000,5000000000000000000000000000,0,2360000000000000000000000000000,500000000000000000000000000,700000000000000000000000000,5000000000000000000000,10000000000000000000000,2000000000000000000000000000000,0,8052346996832068070419,13440825551360250642570,true,0,0,0,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000000000000000000000000000
